Player,Pos,Season
Yuta Watanabe\watanyu01,SF,2021-22
Trendon Watford\watfotr01,SF,2021-22
Paul Watson\watsopa01,SF,2021-22
Russell Westbrook\westbru01,PG,2021-22
Coby White\whiteco01,PG,2021-22
Derrick White\whitede01,SG,2021-22
Hassan Whiteside\whiteha01,C,2021-22
Joe Wieskamp\wieskjo01,SG,2021-22
Aaron Wiggins\wiggiaa01,SG,2021-22
Andrew Wiggins\wiggian01,SF,2021-22
Grant Williams\willigr01,PF,2021-22
Kenrich Williams\willike04,SF,2021-22
Lou Williams\willilo02,PG,2021-22
Patrick Williams\willipa01,PF,2021-22
Robert Williams\williro04,C,2021-22
Ziaire Williams\willizi02,SF,2021-22
Dylan Windler\windldy01,SF,2021-22
Justise Winslow\winslju01,SF,2021-22
Cassius Winston\winstca01,PG,2021-22
Christian Wood\woodch01,C,2021-22
Robert Woodard\woodaro01,SF,2021-22
Delon Wright\wrighde01,SG,2021-22
McKinley Wright IV\wrighmc01,PG,2021-22
Moses Wright\wrighmo01,F,2021-22
Thaddeus Young\youngth01,PF,2021-22
Trae Young\youngtr01,PG,2021-22
Omer Yurtseven\yurtsom01,C,2021-22
Cody Zeller\zelleco01,C,2021-22
Ivica Zubac\zubaciv01,C,2021-22
