Player,Salary,Season
Sindarius Thornwell,"$1,235,889 ",2020-21
Shelvin Mack,"$6,000,000 ",2017-18
Shelvin Mack,"$2,512,601 ",2018-19
Sheldon Mac,"$1,312,611 ",2017-18
Sheldon Mac,"$91,557 ",2019-20
Shaun Livingston,"$7,692,308 ",2017-18
Shaun Livingston,"$8,307,692 ",2018-19
Shaun Livingston,"$666,666 ",2020-21
Shaquille Harrison,"$230,399 ",2017-18
Shaquille Harrison,"$1,325,531 ",2018-19
Shaquille Harrison,"$1,620,564 ",2019-20
Shaquille Harrison,"$915,048 ",2020-21
Shane Larkin,"$1,524,305 ",2017-18
Shake Milton,"$77,250 ",2018-19
Shake Milton,"$1,445,697 ",2019-20
Shake Milton,"$1,701,593 ",2020-21
Shai Gilgeous-Alexander,"$3,375,360 ",2018-19
Shai Gilgeous-Alexander,"$3,952,920 ",2019-20
Shai Gilgeous-Alexander,"$4,141,320 ",2020-21
Shabazz Napier,"$2,361,359 ",2017-18
Shabazz Napier,"$1,942,422 ",2018-19
Shabazz Napier,"$1,845,301 ",2019-20
Shabazz Muhammad,"$1,924,755 ",2017-18
Seth Curry,"$3,028,410 ",2017-18
Seth Curry,"$2,795,000 ",2018-19
Seth Curry,"$7,461,380 ",2019-20
Seth Curry,"$7,834,449 ",2020-21
Serge Ibaka,"$20,061,729 ",2017-18
Serge Ibaka,"$21,666,667 ",2018-19
Serge Ibaka,"$23,271,604 ",2019-20
Serge Ibaka,"$9,258,000 ",2020-21
Semi Ojeleye,"$1,291,892 ",2017-18
Semi Ojeleye,"$1,378,242 ",2018-19
Semi Ojeleye,"$1,618,520 ",2019-20
Semi Ojeleye,"$1,752,950 ",2020-21
Sekou Doumbouya,"$3,285,120 ",2019-20
Sekou Doumbouya,"$3,449,400 ",2020-21
Sean McDermott,"$449,115 ",2020-21
Sean Kilpatrick,"$4,774,445 ",2017-18
Scotty Hopson,"$74,158 ",2017-18
Scotty Hopson,"$76,236 ",2018-19
Scott Machado,"$76,236 ",2018-19
Sam Merrill,"$898,310 ",2020-21
Sam Dekker,"$1,794,600 ",2017-18
Sam Dekker,"$2,760,094 ",2018-19
Salah Mejri,"$1,471,382 ",2017-18
Salah Mejri,"$2,098,196 ",2018-19
Saddiq Bey,"$2,689,920 ",2020-21
Saben Lee,"$516,836 ",2020-21
Ryan Broekhoff,"$838,464 ",2018-19
Ryan Broekhoff,"$1,416,852 ",2019-20
Ryan Arcidiacono,"$77,250 ",2017-18
Ryan Arcidiacono,"$1,349,383 ",2018-19
Ryan Arcidiacono,"$3,000,000 ",2019-20
Ryan Arcidiacono,"$3,000,000 ",2020-21
Ryan Anderson,"$19,578,455 ",2017-18
Ryan Anderson,"$20,421,546 ",2018-19
Ryan Anderson,"$5,214,583 ",2020-21
Russell Westbrook,"$28,299,399 ",2017-18
Russell Westbrook,"$35,665,000 ",2018-19
Russell Westbrook,"$38,506,482 ",2019-20
Russell Westbrook,"$41,358,814 ",2020-21
Rui Hachimura,"$4,469,160 ",2019-20
Rui Hachimura,"$4,692,840 ",2020-21
Rudy Gobert,"$21,224,719 ",2017-18
Rudy Gobert,"$23,491,573 ",2018-19
Rudy Gobert,"$25,258,427 ",2019-20
Rudy Gobert,"$27,525,281 ",2020-21
Rudy Gay,"$8,406,000 ",2017-18
Rudy Gay,"$10,087,200 ",2018-19
Rudy Gay,"$14,500,000 ",2019-20
Rudy Gay,"$14,500,000 ",2020-21
Royce O'Neale,"$815,615 ",2017-18
Royce O'Neale,"$1,378,242 ",2018-19
Royce O'Neale,"$1,618,520 ",2019-20
Royce O'Neale,"$8,500,000 ",2020-21
Ronnie Price,"$2,442,455 ",2017-18
